[INFO ] 2020-06-30 17:22:24.086  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.087  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.088  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.088  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.089  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.089  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.090  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.090  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.091  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.093  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.094  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.095  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.096  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.097  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.097  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.098  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.098  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.099  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.100  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.100  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.101  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.101  - Соединение уcтановлено: /127.0.0.1:8080
